sample_id,sample_type,timepoint,condition,challenge,slide,capture_area,batch,replicate,microct,min_counts,min_genes,exclude,whole_slide_image,whole_slide_bbox
L221201,visium,2dpi,mock,-,V11N01-110,A1,2022/11/01,-,-,5000,1000,-,2000233V11N01-1102022-11-01 - 2022-11-07 10.46.08.ndpi,V11N01-110-A.csv
L221202,visium,5dpi,mock,-,V11N01-110,B1,2022/11/01,-,-,5000,0,-,2000233V11N01-1102022-11-01 - 2022-11-07 10.46.08.ndpi,V11N01-110-B.csv
L221203,visium,5dpi,wuhan,-,V11N01-110,C1,2022/11/01,b,-,1000,0,-,2000233V11N01-1102022-11-01 - 2022-11-07 10.46.08.ndpi,V11N01-110-C.csv
L221204,visium,5dpi,OTS206,-,V11N01-110,D1,2022/11/01,-,-,2500,1200,-,2000233V11N01-1102022-11-01 - 2022-11-07 10.46.08.ndpi,V11N01-110-D.csv
L221205,visium,2dpi,OTS206,-,V11U14-342,A1,2022/11/01,-,-,1500,0,-,2000233V11U14-3422022-06-14 - 2022-11-07 10.49.46.ndpi,V11U14-342-A.csv
L221206,visium,2dpi,OTS206,-,V11U14-342,B1,2022/11/01,-,-,1500,300,-,2000233V11U14-3422022-06-14 - 2022-11-07 10.49.46.ndpi,V11U14-342-B.csv
L221207,visium,5dpi,wuhan,-,V11U14-343,C1,2022/11/02,-,-,0,0,yes,2000233V11U14-3422022-06-14 - 2022-11-07 10.49.46.ndpi,V11U14-342-C.csv
L221208,visium,5dpi,OTS206,-,V11U14-342,D1,2022/11/01,-,-,2500,0,-,2000233V11U14-3422022-06-14 - 2022-11-07 10.49.46.ndpi,V11U14-342-D.csv
L221209,visium,5dpi,wuhan,-,V11U14-343,D1,2022/11/01,-,-,2500,0,-,2000233V11U14-3432022-06-14 - 2022-11-07 10.52.02.ndpi,V11U14-343-D.csv
L2212010,visium,2dpi,wuhan,-,V11U14-343,B1,2022/11/01,-,yes,1000,1000,-,2000233V11U14-3432022-06-14 - 2022-11-07 10.52.02.ndpi,V11U14-343-C.csv
L2212011,visium,5dpi,wuhan,-,V11U14-343,C1,2022/11/01,-,-,2000,0,-,2000233V11U14-3432022-06-14 - 2022-11-07 10.52.02.ndpi,V11U14-343-B.csv
L2212012,visium,2dpi,wuhan,-,V11U14-343,A1,2022/11/01,a,yes,4500,2000,yes,2000233V11U14-3432022-06-14 - 2022-11-07 10.52.02.ndpi,V11U14-343-A.csv
L2210915,visium,2dpi,mRNA,delta,V11U14-344,A1,2023/01/14,-,-,7000,0,-,2000233V11U14-3442022-06-14 - 2022-12-07 11.15.32.ndpi,L2210915.csv
L2210917,visium,2dpi,mRNA,delta,V11U14-344,B1,2023/01/14,-,-,5000,3000,-,2000233V11U14-3442022-06-14 - 2022-12-07 11.15.32.ndpi,L2210917.csv
L2210925,visium,5dpi,mRNA,delta,V11U14-344,C1,2023/01/14,-,-,7500,4500,-,2000233V11U14-3442022-06-14 - 2022-12-07 11.15.32.ndpi,L2210925.csv
L2210926,visium,5dpi,mRNA,delta,V11U14-344,D1,2023/01/14,-,yes,10,3000,-,2000233V11U14-3442022-06-14 - 2022-12-07 11.15.32.ndpi,L2210926.csv
L221096,visium,2dpi,OTS206,delta,V11U14-345,A1,2023/01/14,-,yes,6000,0,-,2000233V11U14-3452022-06-14 - 2022-12-07 11.11.11.ndpi,L221096.csv
L221097,visium,2dpi,OTS206,delta,V11U14-345,B1,2023/01/14,-,-,5000,4000,-,2000233V11U14-3452022-06-14 - 2022-12-07 11.11.11.ndpi,L221097.csv
L2210911,visium,5dpi,OTS206,delta,V11U14-345,C1,2023/01/14,-,-,7000,0,-,2000233V11U14-3452022-06-14 - 2022-12-07 11.11.11.ndpi,L2210911.csv
L2210914,visium,5dpi,OTS206,delta,V11U14-345,D1,2023/01/14,-,yes,15000,0,-,2000233V11U14-3452022-06-14 - 2022-12-07 11.11.11.ndpi,L2210914.csv
L221093,visium,5dpi,OTS206,mock,V11U08-093,A1,2023/01/14,-,-,15000,0,-,2000233V11U08-0932022-06-08 - 2022-12-07 11.13.14.ndpi,L221093.csv
L2210927,visium,5dpi,mRNA,mock,V11U08-093,B1,2023/01/14,-,-,10,2000,-,2000233V11U08-0932022-06-08 - 2022-12-07 11.13.14.ndpi,L2210927.csv
L2210923,visium,5dpi,mRNA,delta,V11U08-093,C1,2023/01/14,-,yes,10,2500,-,2000233V11U08-0932022-06-08 - 2022-12-07 11.13.14.ndpi,L2210923.csv
L2210913,visium,5dpi,OTS206,delta,V11U08-093,D1,2023/01/14,-,-,9000,0,-,2000233V11U08-0932022-06-08 - 2022-12-07 11.13.14.ndpi,L2210913.csv
T23_755,visium,2dpi,wuhan,-,V12A25-132,A1,2023/04/25,a,-,0,0,yes,2000233V12A25-1322023-04-25 - 2023-03-20 13.32.04.ndpi,T23_755.csv
T23_7510,visium,5dpi,wuhan,-,V12A25-132,B1,2023/04/25,b,-,3000,0,-,2000233V12A25-1322023-04-25 - 2023-03-20 13.32.04.ndpi,T23_7510.csv
pilot_mock,chromium,2dpi,mock,-,-,-,2023/02/25,-,-,,,-,-,-
pilot_OTS206,chromium,2dpi,OTS206,-,-,-,2023/02/25,-,-,,,-,-,-
pilot_wt,chromium,2dpi,wuhan,-,-,-,2023/02/25,-,-,,,-,-,-
E_1,chromium,2dpi,mRNA,delta,-,-,2023/06/05,-,-,,,-,-,-
E_2,chromium,2dpi,mRNA,delta,-,-,2023/06/05,-,-,,,-,-,-
E_3,chromium,2dpi,mRNA,delta,-,-,2023/06/05,-,-,,,-,-,-
E_4,chromium,2dpi,OTS206,delta,-,-,2023/06/05,-,-,,,-,-,-
E_5,chromium,2dpi,OTS206,delta,-,-,2023/06/05,-,-,,,-,-,-
E_6,chromium,2dpi,OTS206,delta,-,-,2023/06/05,-,-,,,-,-,-
